"CD_RES_SECTOR","score","rank","deciles"
"11001A00-",6.50337747400467,15979,9
"11001A01-",1.62883273337048,18198,10
"11001A020",1.5404930756005,18212,10
"11001A030",4.44045856853109,17248,10
"11001A042",3.7987190516737,17550,10
"11001A052",1.69334385079683,18182,10
"11001A063",1.49904723044441,18219,10
"11001A074",10.708389875778,12546,7
"11001A091",8.39103518687438,14508,8
"11001A0MA",6.82396978786729,15744,9
"11001A0PA",19.1659222750359,6755,4
"11001A10-",4.3171346956036,17306,10
"11001A173",9.11290542507638,13899,8
"11001A190",1.66681582759934,18191,10
"11001A20-",1.52113259857182,18215,10
"11001A21-",2.18916813881677,18093,10
"11002A00-",33.7712406874381,2371,2
"11002A01-",49.2312390743504,728,1
"11002A02-",25.9400276908075,4135,3
"11002A03-",32.3929801507863,2610,2
"11002A04-",23.8896745252176,4763,3
"11002A05-",38.2398138302309,1748,1
"11002A10-",20.7032400587246,6023,4
"11002A11-",28.1485627234219,3497,2
"11002A12-",25.6558674112092,4237,3
"11002A13-",38.0455637314996,1776,1
"11002A14-",18.7315214626149,6989,4
"11002A15-",54.6681127984383,460,1
"11002A21-",50.5246888417304,652,1
"11002A22-",43.5681068867972,1142,1
"11002B701",50.7728415533601,640,1
"11002B71-",18.5506838172164,7072,4
"11002B721",23.4609428816218,4935,3
"11002B73-",19.3303099804112,6660,4
"11002B742",10.0858763193716,13077,8
"11002B752",23.297847952081,4999,3
"11002B813",12.7009409649701,10913,6
"11002B824",53.7051585689282,499,1
"11002C20-",49.3444668369,720,1
"11002C21-",43.7066246053791,1132,1
"11002C22-",69.455147479925,93,1
"11002C23-",45.6822770470603,958,1
"11002C24-",55.5834805691209,429,1
"11002C25-",37.6321518594558,1828,1
"11002C31-",28.3784867854728,3463,2
"11002C41-",64.4579757907275,185,1
"11002C42-",63.2026476356197,210,1
"11002C43-",48.0901621613427,796,1
"11002C44-",65.7237754224976,158,1
"11002C45-",50.1704379525295,676,1
"11002D30-",33.9529621335296,2337,2
"11002D31-",32.7383002986699,2543,2
"11002D32-",25.9866786237689,4112,3
"11002D33-",29.3215134506044,3228,2
"11002D34-",29.1796097257769,3261,2
"11002D35-",27.6637337592377,3648,2
"11002D38-",28.5034371826501,3425,2
"11002D41-",27.9911664728286,3548,2
"11002D42-",22.6977759496594,5212,3
"11002E122",49.0441082962972,735,1
"11002E131",33.5249440176467,2410,2
