"CD_RES_SECTOR","score","rank","deciles"
"11002Q052",53.1077395293738,458,1
"11002Q072",54.7481944803373,365,1
"11002Q091",20.9741065101096,6055,4
"11002Q10-",28.5158623609896,3574,2
"11002Q11-",17.824155984444,7641,5
"11002Q12-",25.0642008280582,4554,3
"11002Q13-",32.6594204961677,2683,2
"11002Q14-",22.0865102850121,5588,3
"11002Q17-",44.6273883844519,1069,1
"11002Q201",29.5188976491185,3351,2
"11002Q212",18.4268339371346,7316,4
"11002Q222",13.9292053354438,10267,6
"11002Q233",19.3200826344726,6820,4
"11002Q241",19.8565901607833,6540,4
"11002Q242",14.9831862060013,9444,6
"11002Q2AA",8.01131775763168,15460,9
"11002Q2PA",16.4210197259182,8481,5
"11002Q30-",19.2889676835036,6838,4
"11002R00-",45.6763325947917,980,1
"11002R01-",35.4221128285084,2191,2
"11002R02-",48.7929181666223,741,1
"11002R03-",41.7298220395943,1369,1
"11002R04-",36.9413896945785,1951,2
"11002R05-",25.3878435415969,4464,3
"11002R099",27.2034958747311,3912,3
"11002R101",49.1992154236643,722,1
"11002R110",31.8585106529816,2831,2
"11002R12-",43.9971727110703,1144,1
"11002R13-",44.646594310509,1064,1
"11002R172",37.6469865417713,1860,1
"11002R180",32.3470237892333,2751,2
"11002R19-",41.2546677582251,1433,1
"11002R20-",26.2171447020332,4191,3
"11002R21-",25.6080129971613,4398,3
"11002R22-",26.5203479826007,4108,3
"11002R23-",25.0411975288063,4562,3
"11002R24-",27.3541396204927,3878,3
"11002R30-",42.6123470976037,1271,1
"11002R31-",35.5956290246049,2158,2
"11002R32-",41.0301932055631,1459,1
"11002R33-",25.8980615275928,4304,3
"11002R34-",44.4164054625242,1091,1
"11002R35-",31.9012735123714,2822,2
"11002R39-",47.6518191594516,828,1
"11002R401",25.0649742050444,4553,3
"11002R41-",15.5075000362075,9077,5
"11002R42-",19.1377239293568,6915,4
"11002R43-",22.2783584299445,5508,3
"11002R44-",27.1137886511801,3931,3
"11002R47-",34.1676971935781,2394,2
"11002S00-",46.3420858807216,925,1
"11002S01-",50.0887816721281,642,1
"11002S02-",48.1305166999617,793,1
"11002S03-",49.4820454988554,698,1
"11002S04-",46.0928907131381,943,1
"11002S05-",52.8461842654393,478,1
"11002S10-",34.73098340147,2304,2
"11002S11-",26.4573803678415,4121,3
"11002S12-",31.5971049267918,2891,2
"11002S13-",29.284081161981,3404,2
"11002S20-",49.566858285462,691,1
"11002S2MJ",29.9122425786715,3262,2
"11002S30-",53.9134886332764,412,1
"11002S31-",53.1859887106138,451,1
"11002S41-",32.3211609060909,2756,2
"11002S42-",25.6437753447221,4386,3
"11002S43-",32.8447354310399,2635,2
"11002T00-",47.9331802950811,810,1
"11002T01-",45.2002221248373,1015,1
"11002T02-",49.4922349479001,696,1
"11002T03-",33.5612855750445,2505,2
"11002T04-",24.4403017064027,4756,3
"11002T05-",39.5348915909391,1623,1
"11002T09-",31.6136123830995,2888,2
"11002T10-",15.2633837982364,9231,5
"11002T111",18.5142975520452,7262,4
"11002T12-",16.1041444225415,8687,5
"11002T13-",16.2641810630918,8584,5
"11002T14-",16.3624664969755,8520,5
"11002T180",14.07488040401,10147,6
"11002T20-",37.9262074661425,1830,1
"11002T21-",35.3662846640406,2198,2
"11002T22-",30.6402033360033,3108,2
"11002T23-",25.7229431904527,4365,3
"11002T24-",32.6387549734007,2688,2
"11002T25-",22.750960351117,5353,3
